Edges in form: from to edge_char

From Node No. - To Node No. - Char on the Edge
================================================
259: 14 - 3 - x
260: 14 - 3 - y
261: 14 - 3 - z
262: 13 - 3 - 0
263: 13 - 3 - 1
264: 13 - 3 - 2
265: 13 - 3 - 3
266: 13 - 3 - 4
267: 13 - 3 - 5
268: 13 - 3 - 6
269: 13 - 3 - 7
270: 13 - 3 - 8
271: 13 - 3 - 9
272: 13 - 3 - A
273: 13 - 3 - B
274: 13 - 3 - C
275: 13 - 3 - D
276: 13 - 3 - E
277: 13 - 3 - F
278: 13 - 3 - G
279: 13 - 3 - H
280: 13 - 3 - I
281: 13 - 3 - J
282: 13 - 3 - K
283: 13 - 3 - L
284: 13 - 3 - M
285: 13 - 3 - N
286: 13 - 3 - O
287: 13 - 3 - P
288: 13 - 3 - Q
289: 13 - 3 - R
290: 13 - 3 - S
291: 13 - 3 - T
292: 13 - 3 - U
293: 13 - 3 - V
294: 13 - 3 - W
295: 13 - 3 - X
296: 13 - 3 - Y
297: 13 - 3 - Z
298: 13 - 3 - a
299: 13 - 3 - b
300: 13 - 3 - c
301: 13 - 3 - d
302: 13 - 3 - e
303: 13 - 3 - f
304: 13 - 3 - g
305: 13 - 3 - h
306: 13 - 3 - i
307: 13 - 3 - j
308: 13 - 3 - k
309: 13 - 12 - l
310: 13 - 3 - m
311: 13 - 3 - n
312: 13 - 3 - o
313: 13 - 3 - p
314: 13 - 3 - q
315: 13 - 3 - r
316: 13 - 3 - s
317: 13 - 3 - t
318: 13 - 3 - u
319: 13 - 3 - v
320: 13 - 3 - w
321: 13 - 3 - x
322: 13 - 3 - y
323: 13 - 3 - z
324: 12 - 3 - 0
325: 12 - 3 - 1
326: 12 - 3 - 2
327: 12 - 3 - 3
328: 12 - 3 - 4
329: 12 - 3 - 5
330: 12 - 3 - 6
331: 12 - 3 - 7
332: 12 - 3 - 8
333: 12 - 3 - 9
334: 12 - 3 - A
335: 12 - 3 - B
336: 12 - 3 - C
337: 12 - 3 - D
338: 12 - 3 - E
339: 12 - 3 - F
340: 12 - 3 - G
341: 12 - 3 - H
342: 12 - 3 - I
343: 12 - 3 - J
344: 12 - 3 - K
345: 12 - 3 - L
346: 12 - 3 - M
347: 12 - 3 - N
348: 12 - 3 - O
349: 12 - 3 - P
350: 12 - 3 - Q
351: 12 - 3 - R
352: 12 - 3 - S
353: 12 - 3 - T
354: 12 - 3 - U
355: 12 - 3 - V
356: 12 - 3 - W
357: 12 - 3 - X
358: 12 - 3 - Y
359: 12 - 3 - Z
360: 12 - 3 - a
361: 12 - 3 - b
362: 12 - 3 - c
363: 12 - 3 - d
364: 12 - 4 - e
365: 12 - 3 - f
366: 12 - 3 - g
367: 12 - 3 - h
368: 12 - 3 - i
369: 12 - 3 - j
370: 12 - 3 - k
371: 12 - 3 - l
372: 12 - 3 - m
373: 12 - 3 - n
374: 12 - 3 - o
375: 12 - 3 - p
376: 12 - 3 - q
377: 12 - 3 - r
378: 12 - 3 - s
379: 12 - 3 - t
380: 12 - 3 - u
381: 12 - 3 - v
382: 12 - 3 - w
383: 12 - 3 - x
384: 12 - 3 - y
385: 12 - 3 - z
386: 4 - 3 - 0
387: 4 - 3 - 1
388: 4 - 3 - 2
389: 4 - 3 - 3
390: 4 - 3 - 4
391: 4 - 3 - 5
392: 4 - 3 - 6
393: 4 - 3 - 7
394: 4 - 3 - 8
395: 4 - 3 - 9
396: 4 - 3 - A
397: 4 - 3 - B
398: 4 - 3 - C
399: 4 - 3 - D
400: 4 - 3 - E
401: 4 - 3 - F
402: 4 - 3 - G
403: 4 - 3 - H
404: 4 - 3 - I
405: 4 - 3 - J
406: 4 - 3 - K
407: 4 - 3 - L
408: 4 - 3 - M
409: 4 - 3 - N
410: 4 - 3 - O
411: 4 - 3 - P
412: 4 - 3 - Q
413: 4 - 3 - R
414: 4 - 3 - S
415: 4 - 3 - T
416: 4 - 3 - U
417: 4 - 3 - V
418: 4 - 3 - W
419: 4 - 3 - X
420: 4 - 3 - Y
421: 4 - 3 - Z
422: 4 - 3 - a
423: 4 - 3 - b
424: 4 - 3 - c
425: 4 - 3 - d
426: 4 - 3 - e
427: 4 - 3 - f
428: 4 - 3 - g
429: 4 - 3 - h
430: 4 - 3 - i
431: 4 - 3 - j
432: 4 - 3 - k
433: 4 - 3 - l
434: 4 - 3 - m
435: 4 - 3 - n
436: 4 - 3 - o
437: 4 - 3 - p
438: 4 - 3 - q
439: 4 - 3 - r
440: 4 - 3 - s
441: 4 - 3 - t
442: 4 - 3 - u
443: 4 - 3 - v
444: 4 - 3 - w
445: 4 - 3 - x
446: 4 - 3 - y
447: 4 - 3 - z
448: 11 - 3 - 0
