Edges in form: from to edge_char

From Node No. - To Node No. - Char on the Edge
================================================
1118: 24 - 3 - o
1119: 24 - 3 - p
1120: 24 - 3 - q
1121: 24 - 3 - r
1122: 24 - 3 - s
1123: 24 - 3 - t
1124: 24 - 3 - u
1125: 24 - 3 - v
1126: 24 - 3 - w
1127: 24 - 3 - x
1128: 24 - 3 - y
1129: 24 - 3 - z
1130: 23 - 3 - 0
1131: 23 - 3 - 1
1132: 23 - 3 - 2
1133: 23 - 3 - 3
1134: 23 - 3 - 4
1135: 23 - 3 - 5
1136: 23 - 3 - 6
1137: 23 - 3 - 7
1138: 23 - 3 - 8
1139: 23 - 3 - 9
1140: 23 - 3 - A
1141: 23 - 3 - B
1142: 23 - 3 - C
1143: 23 - 3 - D
1144: 23 - 3 - E
1145: 23 - 3 - F
1146: 23 - 3 - G
1147: 23 - 3 - H
1148: 23 - 3 - I
1149: 23 - 3 - J
1150: 23 - 3 - K
1151: 23 - 3 - L
1152: 23 - 3 - M
1153: 23 - 3 - N
1154: 23 - 3 - O
1155: 23 - 3 - P
1156: 23 - 3 - Q
1157: 23 - 3 - R
1158: 23 - 3 - S
1159: 23 - 3 - T
1160: 23 - 3 - U
1161: 23 - 3 - V
1162: 23 - 3 - W
1163: 23 - 3 - X
1164: 23 - 3 - Y
1165: 23 - 3 - Z
1166: 23 - 22 - a
1167: 23 - 3 - b
1168: 23 - 3 - c
1169: 23 - 3 - d
1170: 23 - 3 - e
1171: 23 - 3 - f
1172: 23 - 3 - g
1173: 23 - 3 - h
1174: 23 - 3 - i
1175: 23 - 3 - j
1176: 23 - 3 - k
1177: 23 - 3 - l
1178: 23 - 3 - m
1179: 23 - 3 - n
1180: 23 - 3 - o
1181: 23 - 3 - p
1182: 23 - 3 - q
1183: 23 - 3 - r
1184: 23 - 3 - s
1185: 23 - 3 - t
1186: 23 - 3 - u
1187: 23 - 3 - v
1188: 23 - 3 - w
1189: 23 - 3 - x
1190: 23 - 3 - y
1191: 23 - 3 - z
1192: 22 - 3 - 0
1193: 22 - 3 - 1
1194: 22 - 3 - 2
1195: 22 - 3 - 3
1196: 22 - 3 - 4
1197: 22 - 3 - 5
1198: 22 - 3 - 6
1199: 22 - 3 - 7
1200: 22 - 3 - 8
1201: 22 - 3 - 9
1202: 22 - 3 - A
1203: 22 - 3 - B
1204: 22 - 3 - C
1205: 22 - 3 - D
1206: 22 - 3 - E
1207: 22 - 3 - F
1208: 22 - 3 - G
1209: 22 - 3 - H
1210: 22 - 3 - I
1211: 22 - 3 - J
1212: 22 - 3 - K
1213: 22 - 3 - L
1214: 22 - 3 - M
1215: 22 - 3 - N
1216: 22 - 3 - O
1217: 22 - 3 - P
1218: 22 - 3 - Q
1219: 22 - 3 - R
1220: 22 - 3 - S
1221: 22 - 3 - T
1222: 22 - 3 - U
1223: 22 - 3 - V
1224: 22 - 3 - W
1225: 22 - 3 - X
1226: 22 - 3 - Y
1227: 22 - 3 - Z
1228: 22 - 3 - a
1229: 22 - 3 - b
1230: 22 - 3 - c
1231: 22 - 3 - d
1232: 22 - 3 - e
1233: 22 - 3 - f
1234: 22 - 3 - g
1235: 22 - 3 - h
1236: 22 - 3 - i
1237: 22 - 3 - j
1238: 22 - 3 - k
1239: 22 - 3 - l
1240: 22 - 3 - m
1241: 22 - 4 - n
1242: 22 - 3 - o
1243: 22 - 3 - p
1244: 22 - 3 - q
1245: 22 - 3 - r
1246: 22 - 3 - s
1247: 22 - 3 - t
1248: 22 - 3 - u
1249: 22 - 3 - v
1250: 22 - 3 - w
1251: 22 - 3 - x
1252: 22 - 3 - y
1253: 22 - 3 - z
1254: 5 - 28 - =
1255: 6 - 28 - =
1256: 7 - 29 - .
1257: 7 - 7 - 0
1258: 7 - 7 - 1
1259: 7 - 7 - 2
1260: 7 - 7 - 3
1261: 7 - 7 - 4
1262: 7 - 7 - 5
1263: 7 - 7 - 6
1264: 7 - 7 - 7
1265: 7 - 7 - 8
1266: 7 - 7 - 9
1267: 29 - 30 - 0
1268: 29 - 30 - 1
1269: 29 - 30 - 2
1270: 29 - 30 - 3
1271: 29 - 30 - 4
1272: 29 - 30 - 5
1273: 29 - 30 - 6
1274: 29 - 30 - 7
1275: 29 - 30 - 8
1276: 29 - 30 - 9
1277: 30 - 30 - 0
1278: 30 - 30 - 1
1279: 30 - 30 - 2
1280: 30 - 30 - 3
1281: 30 - 30 - 4
1282: 30 - 30 - 5
1283: 30 - 30 - 6
1284: 30 - 30 - 7
1285: 30 - 30 - 8
1286: 30 - 30 - 9
1287: 30 - 31 - E
1288: 31 - 32 - 0
1289: 31 - 32 - 1
1290: 31 - 32 - 2
1291: 31 - 32 - 3
1292: 31 - 32 - 4
1293: 31 - 32 - 5
1294: 31 - 32 - 6
1295: 31 - 32 - 7
1296: 31 - 32 - 8
1297: 31 - 32 - 9
1298: 32 - 32 - 0
1299: 32 - 32 - 1
1300: 32 - 32 - 2
1301: 32 - 32 - 3
1302: 32 - 32 - 4
1303: 32 - 32 - 5
1304: 32 - 32 - 6
1305: 32 - 32 - 7
1306: 32 - 32 - 8
1307: 32 - 32 - 9
1308: 10 - 28 - =

Accepting Nodes:
================
Node No.
2 Punctuation
3 id
15 id
14 id
13 id
12 id
4 Keyword
11 id
16 id
19 id
18 id
17 id
21 id
20 id
27 id
26 id
25 id
24 id
23 id
22 id
5 relop
28 relop
6 assign
7 num
30 num
32 num
8 mulop
9 addop
